	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
clcA	1166	1195	981	799	926	1137	616	937	8	5	7	3
clcB	20	37	54	45	37	54	33	82	2	0	0	0
clpA	15982	16336	8012	11511	9415	14161	4211	11298	255	332	106	86
clpB	5014	5380	5284	5264	3165	5058	4543	9483	123	164	119	50
clpP	801	970	949	828	535	824	738	1412	13	10	7	3
clpS	2222	1942	1539	1527	1884	1909	1274	1613	7	13	3	4
clpX	1057	1609	1624	1430	819	1591	1038	3342	86	88	45	29
clsA	294	411	303	238	186	285	199	479	10	6	2	2
clsB	392	513	59	70	234	408	47	72	1	2	0	0
clsC	577	660	810	676	530	609	487	925	8	6	3	2
cmk	137	187	335	272	100	161	252	575	10	6	2	0
cmoA	133	135	189	159	76	110	158	244	1	6	1	1
cmoB	208	222	353	316	151	219	280	474	5	6	1	0
cmoM	611	715	803	711	530	623	567	904	2	6	0	0
cmtA	13	20	13	21	11	13	14	24	0	0	0	0
cmtB	2	4	4	1	2	3	9	6	0	0	0	0
cnoX	631	701	709	771	366	581	520	1009	7	12	3	3
cnu	10	6	26	13	12	22	29	45	0	0	0	0
coaA	227	188	385	202	204	222	296	497	3	6	0	0
coaD	53	70	86	62	46	65	65	162	2	3	0	0
coaE	158	177	212	183	105	176	161	302	1	0	0	1
cobB	629	683	1055	1172	487	596	728	1041	5	3	1	2
cobC	34	54	96	67	31	40	54	159	1	0	1	0
cobS	707	655	552	521	630	583	374	510	2	6	1	0
cobT	292	367	287	274	231	303	182	332	4	8	1	2
cobU	105	126	121	121	90	123	75	216	0	1	1	0
codA	161	238	389	365	144	210	304	617	3	3	4	1
codB	27	38	129	123	31	32	105	182	0	0	1	0
cof	10270	7246	9939	8279	7302	9026	7326	7015	8	7	2	20
comR	240	250	257	232	149	221	214	391	2	6	2	2
copA	504	625	244	259	333	544	148	420	12	37	10	3
corA	172	177	169	154	92	166	107	263	0	6	1	0
cpdA	2597	3046	2404	2640	1918	2733	1498	3631	35	49	6	9
cpdB	680	876	388	441	418	696	259	638	4	15	2	3
cpoB	268	518	1279	1086	241	505	1017	3209	13	13	6	1
cpsB	19	12	9	13	9	8	11	25	0	0	0	0
cpsG	6	8	9	17	3	5	10	18	2	0	0	0
cpxA	848	945	702	758	566	762	552	1181	15	25	6	5
cpxP	1102	1748	1875	1357	1005	2052	4480	12792	31	10	3	6
cpxQ	32685	27210	33088	25816	47315	59466	32482	65401	45	5	13	2
cpxR	491	609	563	451	344	547	437	1002	8	17	5	5
cra	1593	1981	1331	1548	1081	1770	707	1758	41	59	13	8
crcB	105	92	84	58	62	100	74	118	0	0	2	0
creA	189	237	268	212	137	210	205	334	2	2	0	3
creB	288	315	286	284	172	257	163	366	0	3	1	1
creC	327	353	383	396	251	349	253	405	2	3	1	1
creD	68	58	91	56	51	72	46	78	0	0	0	0
crl	123	180	311	281	100	149	204	587	2	6	1	0
cro	13	0	1	0	823	1398	2340	5574	16	0	14	6
crp	7714	8077	7990	8542	6222	8050	5004	9352	107	96	29	33
crr	783	968	764	701	553	926	605	1390	38	34	13	12
csdA	594	762	673	718	458	739	443	987	12	14	5	4
csdE	88	116	143	120	79	137	81	197	2	2	0	1
csgA	5	12	0	5	2	11	4	12	0	0	0	0
csgB	1	2	1	0	3	3	2	0	0	0	0	0
csgC	22	15	59	48	13	14	63	130	0	0	0	0
csgD	37	27	45	36	27	28	31	54	0	0	0	0
csgE	7	8	10	11	10	12	7	13	0	0	0	0
csgF	3	2	6	2	1	3	3	6	0	0	0	0
csgG	50	38	39	16	29	28	26	47	0	1	0	0
csgI	35	43	22	20	34	33	17	41	0	0	0	0
csiE	3483	3109	869	1006	2003	2366	461	676	6	9	1	4
cspA	2008	3211	3187	2461	1694	3279	2180	7363	241	257	142	124
cspB	354	539	699	534	329	583	345	1056	18	27	10	4
cspC	281	381	476	441	243	363	349	898	37	25	28	8
cspD	392	419	154	175	290	414	187	315	4	9	7	1
cspE	3924	6009	6062	6039	3257	4809	6262	11052	116	78	69	28
cspE_3'	940	1804	1739	1066	947	1476	1225	3322	30	20	20	8
cspF	152	216	413	254	140	225	282	689	6	1	1	1
cspG	2905	4450	5396	3657	2631	4342	2901	7300	79	78	22	29
cspH	7	18	50	17	11	15	48	83	0	0	0	1
cspI	247	363	358	238	303	459	260	545	2	7	0	1
csqR	114	139	127	128	77	126	83	209	3	1	0	0
csrA	815	1002	766	638	619	915	605	1398	21	26	7	9
csrB	2246	1926	1867	2927	1025	2135	1226	1379	141	137	87	64
csrC	154	206	153	149	118	194	124	191	9	11	7	5
csrD	134	199	171	167	101	166	106	318	5	11	0	1
cstA	6960	5783	5950	6315	4156	4606	3550	6534	45	22	12	17
cueO	215	271	124	133	165	251	89	194	2	6	0	0
cueR	85	103	87	74	54	85	54	181	1	0	0	0
curA	540	737	188	255	394	659	112	323	10	17	2	3
cusA	41	46	36	41	31	44	41	77	0	2	0	0
cusB	6	8	5	10	2	5	6	6	1	1	0	0
cusC	6	7	6	4	5	4	0	9	0	0	0	0
cusF	1	1	6	3	2	0	3	2	1	0	0	0
cusR	14	20	28	25	16	25	26	44	2	1	0	0
cusS	56	46	82	67	34	53	57	83	0	1	0	0
cutA	304	308	401	300	256	306	664	349	3	3	1	1
cutC	633	1071	3086	4351	607	1029	3169	4050	13	4	0	3
cvpA	122	144	233	195	87	139	149	326	3	4	0	3
cvrA	996	968	1339	1237	856	1013	789	1373	5	8	0	2
cyaA	1711	2390	2264	1989	1260	2202	1673	4808	44	60	18	10
cyaR	757051	547638	444569	332542	603353	689174	308875	409771	680	199	178	187
cyaY	55	66	81	73	33	53	86	120	0	0	0	0
cybB	2270	1860	2809	2031	2215	2013	2145	2697	5	1	0	0
cybC	342	440	412	445	313	464	264	616	3	3	0	1
cycA	1200	1342	1983	1514	777	1186	1568	2934	8	7	2	1
cydA	3813	5426	2785	3020	2619	5123	1629	5476	207	248	86	64
cydB	3092	4581	2088	2303	2439	4149	1243	3962	158	150	52	55
cydC	632	767	1050	917	566	651	666	1255	11	17	6	2
cydD	1080	1152	1603	1341	973	1072	1033	1719	17	8	10	7
cydH	426	443	387	388	391	472	309	433	13	5	5	1
cydX	616	814	439	466	477	813	320	887	19	38	9	5
cynR	11	13	37	22	14	15	38	49	0	0	0	0
cynS	8	5	11	4	6	4	8	8	0	0	1	0
cynT	2	3	4	3	1	2	2	7	1	0	1	0
cynX	28	39	38	22	31	33	35	30	1	0	0	0
cyoA	361	481	3338	2568	262	416	2479	6587	28	17	8	12
cyoB	1238	1384	11237	9007	782	1156	6988	17963	57	35	13	31
cyoC	413	552	2603	2687	199	304	1491	4552	25	4	6	3
cyoD	166	296	1006	806	94	176	854	2200	13	1	2	1
cyoE	3246	3974	7124	6601	2359	2960	4291	9871	36	39	12	18
cysA	41	50	63	43	43	42	32	63	2	1	1	0
cysB	879	1290	1653	1325	711	1046	963	2561	15	11	5	4
cysC	18	26	20	18	7	18	13	41	1	2	0	0
cysD	38	48	18	24	22	44	14	34	1	2	0	0
cysE	991	1418	1428	1477	702	1111	730	2130	18	8	5	3
cysG	201	212	193	202	138	153	145	269	2	1	1	1
cysH	0	3	7	3	1	2	4	15	0	0	0	0
cysI	24	39	60	57	31	55	36	111	1	4	1	0
cysJ	86	122	202	212	87	127	99	212	2	0	0	1
cysK	555	905	624	629	401	664	458	1309	19	20	4	1
cysM	250	309	461	478	196	267	401	714	2	3	0	3
cysN	156	201	95	79	92	128	48	168	3	3	2	0
cysP	28	60	36	24	31	44	27	68	0	1	0	0
cysQ	860	974	335	387	534	915	242	483	5	8	2	7
cysS	81	118	178	121	61	113	185	366	4	9	0	2
cysT	230	195	317	376	213	241	422	701	74	55	56	14
cysU	37	61	39	47	30	39	27	28	1	0	1	0
cysW	22	26	26	26	22	23	15	27	0	2	0	0
cysZ	145	159	211	142	138	159	164	204	0	1	0	1
cytR	367	515	405	459	275	444	290	925	4	8	4	0
cyuA	739	811	394	418	665	940	148	449	6	3	1	2
cyuP	2206	1733	1839	1444	2087	2120	799	1936	3	3	2	1
dacA	212	265	577	442	145	249	417	884	6	4	1	0
dacB	54	54	89	42	26	42	50	126	0	3	1	2
dacC	1175	1334	564	713	780	1117	496	875	11	9	4	1
dacD	77	83	87	74	71	77	65	131	2	0	1	2
dadA	1266	1462	2576	2356	517	730	1876	4391	19	8	0	3
dadX	1200	1288	2771	2664	504	682	1768	4736	14	12	5	3
dam	209	292	406	304	171	239	311	634	9	7	5	3
damX	705	960	974	961	467	783	771	1997	31	39	13	6
dapA	819	1038	1301	886	581	867	876	1780	26	22	8	15
dapB	1606	1921	1911	1870	1249	1843	1142	2837	15	7	2	7
dapD	1572	1729	1704	1931	1124	1607	1128	2132	13	11	3	1
dapE	376	438	435	392	260	391	325	428	5	5	3	2
dapF	985	1299	1137	1197	721	1020	693	1724	21	22	12	2
dauA	111	122	479	354	118	133	327	604	3	8	3	0
dbpA	132	149	129	135	116	159	115	203	1	1	0	0
dcd	527	710	588	618	421	646	409	1204	18	31	6	10
dcm	160	142	229	183	85	162	177	338	5	5	0	3
dcp	906	942	1284	1212	695	837	882	1638	7	11	2	2
dcrB	662	996	689	758	500	917	602	1827	18	15	4	5
dctA	2123	2262	4414	4269	1434	1765	3133	6870	36	30	15	10
dctR	2	8	1	2	3	10	1	2	0	0	0	0
dcuA	2954	4141	2134	2178	2285	4153	1167	3547	158	126	58	42
dcuB	1392	1609	391	491	1201	1742	228	548	34	45	20	8
dcuC	4461	5245	1660	2573	3636	4525	653	1440	44	42	14	12
dcuD	11	19	10	11	12	5	13	6	0	0	0	0
dcuR	76	98	77	60	52	66	77	149	0	6	0	0
dcuS	264	365	360	298	218	321	240	792	10	5	2	5
dcyD	1397	1414	1233	1238	972	1429	828	1894	11	20	9	3
ddlA	336	440	796	658	260	409	686	1299	5	5	7	4
ddlB	1052	1639	971	1118	798	1357	714	1379	21	31	6	7
ddpA	23	32	27	36	13	17	13	52	0	1	0	0
ddpB	36	39	25	22	18	32	21	30	0	0	1	0
ddpC	40	47	31	38	24	29	17	37	0	0	1	0
ddpD	26	30	11	24	14	13	11	25	0	0	0	0
ddpF	11	17	13	5	4	14	5	22	0	2	0	0
ddpX	12	13	8	13	11	12	8	19	0	0	0	0
deaD	767	1260	1485	1111	626	1205	917	3393	74	84	28	31
decR	176	260	308	270	196	254	244	464	1	7	3	3
dedA	4839	5023	9457	7624	4725	4809	5052	7782	12	9	6	2
dedD	422	584	625	628	297	534	358	1199	8	13	2	4
def	1343	1866	1508	1418	1113	1837	861	2414	27	23	11	14
degP	1061	1076	1452	1235	786	1129	1699	2736	10	5	6	2
degQ	808	856	538	668	504	742	469	797	4	7	3	5
degS	71	131	118	83	70	102	66	224	0	5	3	2
deoA	349	605	157	191	201	500	127	357	12	20	7	4
deoB	1318	1966	812	909	872	1799	618	1859	67	76	21	31
deoC	410	552	168	178	221	467	167	487	21	15	5	8
deoD	1041	1416	1155	1057	679	1321	847	2194	24	24	11	16
deoR	691	618	840	721	560	690	537	917	3	1	0	0
der	1151	1452	1914	1947	810	1338	1197	2743	16	22	5	11
dfp	664	637	1477	1131	499	678	1176	1899	5	2	0	2
dgcC	32	36	16	14	28	39	19	23	0	0	0	1
dgcE	578	829	917	820	479	705	528	1257	22	24	8	1
dgcF	135	145	156	132	118	162	102	250	2	1	2	0
dgcI	55	66	222	162	44	45	167	197	1	1	0	0
dgcJ	89	90	215	127	64	100	175	199	0	0	0	1
dgcM	333	476	88	59	258	446	61	119	0	0	2	1
dgcN	180	291	247	202	205	360	147	436	7	5	3	2
dgcP	268	382	870	710	241	368	556	1075	4	8	3	3
dgcQ	421	441	363	446	325	434	253	435	7	9	2	0
dgcT	228	241	357	189	222	246	214	316	1	0	0	1
dgcZ	126	134	265	213	185	236	325	485	1	1	0	0
dgkA	38	61	76	67	37	47	72	126	1	3	0	1
dgoA	19	29	45	51	9	28	19	63	0	2	1	0
dgoD	51	68	53	83	43	63	33	89	0	0	1	1
dgoK	48	78	80	99	56	59	38	166	0	3	0	0
dgoR	39	65	82	65	25	46	37	140	2	2	1	0
dgoT	39	34	41	36	27	22	20	37	0	0	0	0
dgt	2404	2122	1657	1639	1710	2116	1019	1932	4	6	1	3
dhaK	311	377	231	251	208	364	150	355	3	2	0	0
dhaL	121	149	80	97	96	107	50	133	1	1	1	0
dhaM	239	349	191	210	195	293	103	343	6	7	4	2
dhaR	176	170	169	158	91	170	133	256	2	5	2	1
diaA	217	242	191	243	146	208	183	278	3	6	2	4
dicA	96	160	322	226	151	207	357	690	4	3	0	1
dicB	5	15	16	8	5	13	1	9	0	0	0	0
dicC	0	3	1	2	1	1	1	2	0	0	0	0
dicD	450	542	356	358	291	477	271	498	8	7	1	1
dicF	3006	2616	4492	2362	2475	2548	2653	2507	2	3	1	2
digH	71	84	96	74	43	79	67	264	0	0	0	0
dinB	185	264	310	325	148	263	159	440	3	2	1	2
dinD	2847	3020	4181	4883	2753	3370	2775	4335	7	6	1	2
dinF	1261	1295	1759	1381	1340	1368	920	1773	6	6	1	1
dinG	1824	2492	2834	3544	1720	2252	1322	3093	34	28	9	12
dinI	1348	1294	2298	1805	1013	1497	1506	2666	2	0	0	0
dinJ	37	64	118	97	40	82	88	268	0	0	0	0
dinQ	15	16	19	18	10	15	20	28	2	1	0	1
djlA	287	362	386	376	262	342	301	543	5	1	0	0
djlB	3	1	3	0	3	2	3	4	0	0	0	0
djlC	82	110	126	95	68	87	56	124	0	2	0	0
dkgA	740	977	215	197	470	925	115	237	13	12	7	3
dkgB	81	109	73	56	95	132	218	547	4	2	2	0
dksA	1893	2182	1830	1946	1271	2103	1081	2884	42	35	9	12
dld	2221	3030	1786	1850	1542	2494	1046	2880	43	46	7	5
dmlA	217	187	118	114	126	182	74	156	6	5	0	2
dmlR	1108	1128	1291	1311	773	826	566	989	4	5	1	1
dmsA	10255	14057	3918	5032	8098	13313	2154	6877	186	318	104	86
dmsB	1000	1555	217	303	781	1640	84	396	55	78	25	13
dmsC	1936	2243	235	293	2109	2612	143	307	42	74	21	18
dmsD	231	349	327	291	296	485	208	428	14	16	8	7
dnaA	1342	1660	1637	1505	1404	2195	1423	3334	34	47	18	12
dnaB	274	396	706	626	176	371	570	1176	11	14	5	2
dnaC	212	227	220	217	140	248	173	331	4	4	0	2
dnaE	620	798	1898	1456	461	712	1370	3227	20	22	8	11
dnaG	219	246	445	331	151	244	415	1048	11	27	9	3
dnaJ	656	802	2023	1878	314	552	1519	3196	9	12	1	3
dnaK	3406	3275	11858	10905	1452	2467	11508	20871	88	41	19	31
dnaN	364	511	535	404	432	707	545	1452	15	17	10	5
dnaQ	110	172	246	194	87	152	152	389	5	2	0	0
dnaT	201	210	159	163	145	178	151	252	2	3	0	1
dnaX	1134	1345	2261	2410	951	1375	1813	2873	20	20	7	5
dolP	185	256	198	207	119	184	173	333	5	6	0	0
dosC	121	149	77	58	96	157	60	88	0	1	0	0
dosP	78	139	69	57	52	111	35	77	1	1	2	0
dpaA	116	166	310	180	70	179	133	461	7	7	1	5
dpiA	22	28	29	23	21	37	14	39	0	0	0	0
dpiB	214	223	188	157	181	253	123	222	1	1	1	1
dppA	27640	36449	13541	14019	14650	25889	6457	16045	151	209	37	83
dppB	1375	1628	213	253	640	1138	101	351	15	26	6	7
dppC	996	945	65	67	631	745	61	83	8	20	2	2
dppD	626	854	45	34	304	539	39	101	15	23	1	3
dppF	756	932	55	48	423	652	42	103	23	21	7	7
dps	5825	7954	752	796	4302	7993	710	1268	79	76	41	33
drpB	11	16	22	11	12	16	27	17	0	0	0	0
dsbA	489	572	869	845	400	540	935	2040	4	4	3	2
dsbB	3522	2591	4363	3407	2827	2898	3034	3587	4	3	2	3
dsbC	1433	1392	1852	1351	1237	1284	1461	1769	4	3	2	5
dsbD	968	954	1244	1101	841	1019	1337	1286	10	6	1	2
dsbG	56	76	127	95	42	72	66	213	3	0	0	0
dsdA	350	254	88	100	152	234	70	124	1	5	0	0
dsdC	200	175	141	143	106	159	101	143	1	1	0	0
dsdX	65	53	26	30	40	66	17	37	0	3	0	0
dsrA	19879	16712	14741	13170	19299	23334	8871	23750	11	3	0	4
dsrB	40	41	35	37	30	40	30	55	0	0	0	0
dtd	6948	6702	4047	5139	5942	6973	2216	3829	23	13	4	2
dtpA	2561	2765	7799	6514	1912	2475	4599	8050	25	18	7	6
dtpB	8028	7509	3206	3232	5881	6706	1638	3091	32	45	16	10
dtpC	398	558	41	31	447	742	36	62	11	52	14	14
dtpD	90	86	88	67	90	80	48	98	1	2	1	0
dusA	97	125	236	178	75	126	136	400	4	8	0	1
dusB	163	184	376	295	126	215	300	637	7	11	3	2
dusC	19	14	49	42	20	29	44	65	1	1	0	0
dut	327	368	869	749	251	370	709	1373	5	5	0	0
dxr	695	835	896	817	560	918	574	1223	13	7	5	0
dxs	628	948	1112	1052	553	853	788	2003	19	26	9	1
ea10	32	2	0	1	895	1610	4431	9586	28	1	4	5
ea22	49	0	3	4	5224	7240	13648	25228	57	2	18	11
ea31	41	3	1	0	2917	4827	8934	18721	60	2	18	8
ea47	40	6	2	2	3427	5030	10396	15934	41	2	9	1
ea59	66	0	2	2	3685	5241	10460	18325	38	3	13	7
ea8.5	7	0	0	1	540	1039	2089	5328	9	0	3	4
eaeH	1	1	0	0	0	1	0	0	0	0	0	0
eamA	1446	1158	1229	1115	1343	1198	919	957	0	0	0	0
eamB	20	27	2	9	16	16	16	12	0	0	0	0
ebgA	319	243	220	215	231	227	158	315	1	2	1	0
ebgC	13	9	18	13	6	10	7	22	0	0	0	0
ebgR	909	1202	1117	1210	794	1303	938	1904	21	24	3	4
ecnA	4	13	22	9	8	6	18	27	0	0	0	0
ecnB	525	627	109	57	441	722	101	120	1	6	2	1
eco	1664	1608	1220	1460	1197	1805	972	1559	10	11	3	1
ecpA	2	2	4	2	0	7	4	4	0	0	0	0
ecpB	3	3	2	0	1	4	1	5	0	1	0	0
ecpC	22	30	21	21	8	27	19	30	3	2	0	0
ecpD	49	66	63	57	37	58	48	115	1	1	0	0
ecpE	46	46	48	57	38	51	27	99	0	4	0	0
eda	325	328	357	386	237	296	248	552	8	8	3	3
edd	182	224	240	252	124	208	185	352	5	4	0	3
efeB	66	54	249	291	24	44	194	418	0	2	0	1
efeO	12	15	203	190	6	10	169	505	0	2	0	1
efeU	25	22	339	248	19	14	200	360	0	0	0	0
efp	105	113	291	200	68	117	263	640	9	5	2	7
elaA	59	59	81	83	59	75	55	122	2	1	2	0
elaB	245	393	82	91	201	312	66	153	18	14	5	4
elaD	28	49	48	41	20	36	34	80	0	0	0	0
elbB	2812	2645	1423	1789	2045	2515	1065	1689	10	13	0	4
elfA	9	16	16	7	11	20	12	28	0	0	0	0
elfC	18	37	25	27	15	26	20	40	1	2	0	1
elfD	2	1	2	1	2	5	4	5	0	0	0	0
elfG	42	53	56	38	38	52	28	63	1	0	0	0
elyC	100	91	125	79	116	103	101	129	0	0	0	0
emrA	249	309	760	518	193	360	622	1138	2	2	2	1
emrB	64	91	226	180	58	79	188	327	1	0	1	0
emrD	1442	1347	2920	2585	1239	1511	2075	2308	5	2	3	3
emrE	24	17	47	21	21	35	42	82	0	0	0	0
emrK	0	1	3	6	3	2	3	9	0	0	0	0
emrY	31	29	48	36	36	35	48	45	0	0	0	0
emtA	15	19	45	27	20	32	29	73	0	1	0	0
endA	8	16	12	13	13	18	8	21	0	0	0	0
eno	1557	2547	2406	2253	1025	2372	1843	6100	128	137	62	37
entA	32	40	151	166	12	26	76	270	0	1	0	0
entB	20	23	173	166	11	17	95	372	1	2	0	0
entC	8	4	203	192	6	5	103	364	1	0	0	0
entD	158	118	197	164	147	128	103	210	0	0	0	0
entE	14	9	386	416	8	11	233	780	3	0	0	0
entF	112	68	381	441	60	62	200	792	3	0	0	1
entH	27	31	102	134	17	19	56	224	0	0	0	0
entS	30	21	355	323	14	25	234	457	2	0	0	0
envC	938	1122	2571	2100	819	1086	1196	2578	10	13	4	3
envR	0	0	1	1	0	0	0	1	0	0	0	0
envY	9	5	12	7	8	9	7	15	0	0	0	0
envZ	841	995	786	681	515	881	488	1293	14	19	10	12
epd	527	735	606	515	331	744	390	1265	26	39	14	6
epmA	93	94	124	109	68	83	73	185	2	4	1	1
epmB	107	127	206	162	68	113	116	419	8	5	1	1
epmC	425	486	850	884	357	493	631	1141	7	9	2	0
eptA	39	35	40	37	25	51	23	47	0	1	0	0
eptB	2989	3011	9733	8098	3084	3103	4759	8694	18	6	3	7
eptC	301	365	1030	887	247	404	797	1737	9	3	0	0
era	129	220	240	181	81	185	204	495	11	14	6	3
erpA	291	373	420	364	237	391	320	726	6	4	0	4
esrE	747	872	690	827	545	842	277	1087	11	10	5	3
essD	0	1	2	2	0	2	2	7	0	0	0	0
essQ	4	5	4	5	6	12	14	26	1	1	0	0
etk	199	190	169	162	161	196	120	208	1	0	0	3
etp	4	4	12	9	4	6	8	23	0	0	0	0
ettA	608	756	1208	1172	360	662	945	2641	19	15	7	12
eutA	7	8	5	8	5	11	5	16	0	0	0	0
eutB	89	118	42	75	59	96	53	163	1	3	1	4
eutC	188	226	155	162	105	186	104	203	7	4	2	0
eutD	26	42	17	20	27	31	11	35	1	0	1	0
eutE	17	17	17	9	13	14	9	21	0	0	1	0
eutG	10	14	10	6	13	11	9	17	1	1	0	0
eutH	4	10	8	15	5	18	9	9	0	0	0	0
eutJ	9	17	17	12	6	13	4	15	0	0	0	0
eutK	57	58	44	44	33	52	19	65	2	2	1	0
eutL	105	149	84	73	76	115	56	103	4	5	3	2
eutM	23	13	15	13	9	33	5	24	1	2	0	0
eutN	0	1	1	0	0	2	0	4	0	0	0	0
eutP	11	7	6	4	6	7	3	14	0	0	0	0
eutQ	13	33	22	22	19	30	11	30	0	0	0	0
eutR	80	102	68	72	60	103	36	116	1	3	1	1
eutS	6	6	6	7	6	5	7	20	0	0	0	0
eutT	16	31	11	19	20	33	12	22	0	0	0	0
evgA	470	555	1091	716	508	617	563	1096	12	5	3	0
evgL	8	24	31	22	13	18	24	61	0	0	0	0
evgS	441	697	1052	774	507	741	639	1621	17	14	4	2
exbB	498	628	2083	2082	293	471	1132	3131	14	7	4	3
exbD	72	111	377	351	44	64	179	689	1	2	3	0
exo	87	1	2	4	4405	6993	13687	32371	64	8	44	30
exoD	5	0	3	0	46	73	184	269	1	0	0	0
exoX	165	182	404	348	110	171	272	429	0	0	1	0
exuR	739	1293	845	815	472	1117	654	1744	13	34	9	7
exuT	2761	3457	1125	1526	2649	3673	561	1653	41	62	22	19
eyeA	15	13	11	15	16	14	15	16	0	1	0	0
fabA	488	541	2101	1557	427	557	1806	3328	10	13	4	3
fabB	1655	1679	2461	2239	961	1521	1575	4708	75	79	29	22
fabD	2010	2432	5384	5856	1454	2103	5093	7309	39	45	13	21
fabF	2507	2876	5328	4734	1929	2743	3623	7172	50	52	25	17
fabG	3099	3224	7720	9142	2190	3062	7067	9750	55	52	11	15
fabH	775	1174	1806	1858	535	897	1424	2998	20	33	2	5
fabI	850	997	1678	1349	571	891	1290	3262	26	15	3	8
fabR	3109	3068	4689	4530	2893	3241	3158	5210	16	12	3	7
fabY	3534	3594	2800	3083	2731	3296	1641	2759	23	8	5	10
fabZ	1179	1337	1924	1475	1089	1243	1782	2525	12	5	2	2
fadA	619	523	334	424	216	319	209	434	3	0	0	0
fadB	196	190	308	271	87	130	242	489	3	1	0	1
fadD	9343	8001	4097	3444	6412	7525	3653	3739	2	4	2	9
fadE	260	273	221	225	143	246	132	393	3	3	3	1
fadH	532	741	944	975	510	661	535	995	6	7	3	1
fadI	502	683	673	591	369	595	443	764	5	7	2	2
fadJ	757	895	768	905	559	720	436	1003	10	11	3	4
fadK	15	32	20	17	27	21	31	24	0	0	0	0
fadL	344	460	675	507	188	291	625	1051	5	6	0	1
fadM	134	147	112	83	102	179	52	127	2	2	1	1
fadR	705	1061	1247	1178	603	861	656	1739	21	18	5	6
fau	193	361	247	217	128	253	180	449	6	8	1	2
fbaA	2950	5375	2607	2699	2084	4928	1820	6415	105	94	27	34
fbaB	1692	1931	413	387	1237	1656	274	446	4	8	6	1
fbp	454	506	567	503	304	445	483	1160	12	15	4	2
fcl	2	2	4	3	2	2	8	3	0	0	0	0
fdhD	515	688	567	651	395	597	319	570	4	3	1	3
fdhE	600	1000	509	472	401	728	315	1146	30	32	9	8
fdhF	610	605	355	411	416	565	206	365	12	16	9	7
fdnG	228	422	156	141	202	446	81	263	14	22	5	7
fdnH	26	55	21	7	14	45	8	44	4	7	3	0
fdnI	11	20	16	11	13	18	7	15	1	2	0	0
fdoG	19432	24216	16559	17775	13267	19035	10596	23949	215	282	72	80
fdoH	2360	3468	1463	1475	1228	2398	800	3006	69	79	33	24
fdoI	1052	1441	542	505	634	933	352	1143	25	20	12	6
fdrA	0	4	4	5	4	3	0	4	0	0	0	0
fdx	181	217	463	463	113	218	307	766	7	10	1	5
feaB	174	186	159	169	120	193	157	230	1	0	0	0
feaR	53	56	113	104	23	42	99	174	1	0	0	0
fecA	1090	1181	2306	1786	791	1051	1243	2949	12	5	5	3
fecB	401	380	517	474	255	277	352	699	6	4	0	1
fecC	60	79	101	91	28	52	68	185	0	0	0	0
fecD	35	35	65	68	19	27	44	98	0	0	0	0
fecE	50	77	79	70	29	44	39	180	1	3	0	0
fecI	31	26	170	139	24	28	106	240	1	0	0	0
fecR	15	24	140	109	10	20	57	229	0	0	0	0
feoA	269	291	1152	1226	162	295	997	1845	7	4	1	1
feoB	1269	1854	4612	5334	696	1273	2388	8195	45	16	7	3
feoC	69	73	197	207	27	63	66	361	1	2	2	0
fepA	242	230	884	1095	128	222	660	1553	1	0	1	0
fepB	8	14	75	73	3	13	48	142	0	0	0	0
fepC	8	9	78	88	1	4	35	156	0	0	0	0
fepD	119	149	486	306	99	153	222	640	1	1	0	0
fepE	1	1	3	0	0	1	0	2	0	0	0	0
fepG	16	12	183	130	5	11	74	208	1	0	0	0
fes	12	10	184	169	7	8	96	290	1	0	0	0
fetA	85	96	68	67	52	121	75	124	0	3	1	1
fetB	44	86	57	62	55	109	51	108	0	2	0	1
ffh	1988	2440	2069	2189	1461	2302	1406	3266	44	65	15	12
ffs	2292	1644	1428	4522	2858	2750	1925	3999	2276	2712	1251	1117
fhlA	398	503	158	168	299	593	68	274	12	31	10	4
fhuA	667	757	2105	1974	428	584	1183	4052	7	9	2	2
fhuB	170	185	517	630	123	163	298	632	1	2	0	1
fhuC	451	460	1044	1083	275	355	582	1216	7	0	1	2
fhuD	85	116	195	162	48	68	129	332	1	0	1	0
fhuE	11	31	127	73	15	19	60	272	2	1	0	1
fhuF	14	21	528	353	8	15	297	1043	3	1	1	0
fic	141	179	40	35	85	133	22	71	0	7	1	2
fieF	1157	1152	1074	1076	822	1076	973	1704	13	17	4	1
fimA	561	810	1168	1167	494	711	986	1922	12	7	10	0
fimB	281	240	995	772	222	287	720	1105	3	1	0	0
fimC	56	84	155	127	66	87	138	262	2	0	0	0
fimD	910	1004	2939	2485	966	1353	2704	2713	1	2	1	5
fimE	29	25	16	23	25	45	29	30	0	0	0	0
fimF	7	10	24	20	10	10	27	53	0	0	0	0
fimG	5	7	19	15	2	7	12	28	0	0	0	0
fimH	62	51	71	69	44	50	46	106	0	0	0	0
fimI	80	124	214	146	86	141	107	342	2	2	0	0
